	gene symbol	chromosome	gene start
0	ATAD3B	1	1471765
1	PRDM16	1	3069168
2	PEX10	1	2403964
3	PEX14	1	10472288
4	PLCH2	1	2425980
5	SPSB1	1	9292894
6	SLC2A5	1	9035106
7	PLEKHM2	1	15684320
8	NMNAT1	1	9943428
9	CCDC27	1	3746460
10	DISP3	1	11479155
11	MMEL1	1	2590639
12	TMEM51	1	15152532
13	FBXO42	1	16246840
14	ALDH4A1	1	18871430
15	CLCN6	1	11806096
16	CELA2A	1	15456728
17	CELA2B	1	15465909
18	RER1	1	2391775
19	PANK4	1	2508537
20	VPS13D	1	12230030
21	RBP7	1	9997206
22	GPR157	1	9100305
23	ZBTB40	1	22428838
24	NPHP4	1	5862811
25	HES5	1	2528745
26	SZRD1	1	16352575
27	PDIK1L	1	26111165
28	NECAP2	1	16440721
29	LAPTM5	1	30732469
30	SLC30A2	1	26037252
31	PHACTR4	1	28369582
32	CNKSR1	1	26177484
33	FAM110D	1	26159079
34	MED18	1	28329002
35	SLC9A1	1	27098809
36	LDLRAP1	1	25543606
37	ATP5IF1	1	28236109
38	SDC3	1	30869466
39	PAFAH2	1	25959767
40	DNAJC8	1	28199456
41	SESN2	1	28259518
42	SERINC2	1	31409565
43	AJAP1	1	4654609
44	PTAFR	1	28147166
45	NKAIN1	1	31179745
46	SNRNP40	1	31259568
47	SLC25A33	1	9539465
48	GJB3	1	34781214
49	DNAJC16	1	15526813
50	EYA3	1	27970344
51	ZNF593	1	26169908
52	FABP3	1	31365253
53	EPHA2	1	16124337
54	ARHGEF19	1	16197854
55	KAZN	1	13892792
56	TNFRSF1B	1	12166991
57	UBE4B	1	10032832
58	PLA2G5	1	20028179
59	PTPRU	1	29236516
60	ZMYM6	1	34986165
61	GJB5	1	34755047
62	AGO4	1	35808016
63	CDCA8	1	37692481
64	CPLANE2	1	16231692
65	ZBTB8B	1	32465072
66	PAX7	1	18630846
67	EXTL1	1	26019884
68	CASZ1	1	10636604
69	AGMAT	1	15571699
70	DNALI1	1	37556919
71	RRAGC	1	38838198
72	GRIK3	1	36795527
73	PLA2G2D	1	20111939
74	YRDC	1	37802945
75	GUCA2B	1	42153410
76	RCC2	1	17406760
77	PSMB2	1	35599541
79	CASP9	1	15490832
80	DDI2	1	15617458
81	UQCRH	1	46303698
82	THRAP3	1	36224432
84	PADI6	1	17372196
85	PADI4	1	17308195
86	C1orf122	1	37806979
87	EPHA10	1	37713880
88	FHL3	1	37996770
89	RHBDL2	1	38885807
90	INPP5B	1	37860697
91	FAM183A	1	43145153
92	ZMYM4	1	35268709
93	UTP11	1	38009258
95	C1orf216	1	35713877
96	ACTL8	1	17755333
97	RLF	1	40161387
99	CLSPN	1	35720218
100	GNL2	1	37566816
101	GJA4	1	34792999
102	MORN1	1	2321253
103	TTC22	1	54779712
104	TIE1	1	43300982
105	MYCBP	1	38862493
106	DLGAP3	1	34865436
107	RIMS3	1	40620680
108	ECHDC2	1	52895910
109	RAB3B	1	51907956
110	SMIM12	1	34712737
111	TMEM61	1	54980628
113	ERI3	1	44221070
114	CZIB	1	53214099
115	FAM151A	1	54609181
116	PODN	1	53062052
117	OSBPL9	1	51577179
118	C1orf210	1	43281877
119	PARS2	1	54756898
120	ZYG11A	1	52842511
122	ZYG11B	1	52726453
123	L1TD1	1	62194849
125	TXNDC12	1	52020131
126	SF3A3	1	37956975
127	TTC4	1	54715861
128	KLF17	1	44118821
129	PLPP3	1	56494761
130	RSPO1	1	37611350
131	SNIP1	1	37534449
132	CPT2	1	53196792
133	FOXJ3	1	42176539
134	TUT4	1	52408282
135	KLF18	1	44137821
136	MAGOH	1	53226900
137	CDKN2C	1	50960745
138	C1orf87	1	59987269
139	ZSWIM5	1	45016399
140	OMA1	1	58415384
141	SLC35D1	1	66999350
142	LRP8	1	53242364
143	TCEANC2	1	54053584
144	KTI12	1	52032103
145	LRRC42	1	53946085
146	KANK4	1	62236165
147	USP1	1	62436297
148	AK5	1	77282019
149	GIPC2	1	77979542
150	RPE65	1	68428822
151	ANGPTL3	1	62597520
152	DNAJC6	1	65248219
153	AK4	1	65147549
154	LEPROT	1	65420587
155	CACHD1	1	64470129
156	EFCAB7	1	63523372
